,Index1,Metro_Num
1465,2037,2
1466,2038,1
1467,2039,1
1468,2040,2
1469,2041,5
1470,2042,2
1471,2043,1
1472,2044,1
1473,2045,1
1474,2046,1
1475,2048,6
1476,2049,2
1477,2050,1
1478,2051,1
1479,2052,1
1480,2054,1
1481,2055,1
1482,2057,1
1483,2059,1
1484,2060,1
1485,2061,4
1486,2062,2
1487,2063,3
1488,2064,3
1489,2065,4
1490,2066,2
1491,2067,1
1492,2068,3
1493,2069,1
1494,2070,2
1495,2072,1
1496,2073,7
1497,2074,3
1498,2075,1
1499,2076,3
1500,2078,3
1501,2081,1
1502,2083,1
1503,2086,1
1504,2087,1
1505,2088,1
1506,2089,2
1507,2090,2
1508,2093,4
1509,2095,1
1510,2096,1
1511,2097,1
1512,2098,3
1513,2099,1
1514,2100,2
1515,2101,3
1516,2102,5
1517,2103,4
1518,2105,2
1519,2106,2
1520,2107,2
1521,2108,2
1522,2110,4
1523,2111,2
1524,2112,2
1525,2114,1
1526,2115,1
1527,2116,2
1528,2117,2
1529,2118,2
1530,2119,2
1531,2120,2
1532,2121,2
1533,2122,2
1534,2123,2
1535,2124,2
1536,2125,2
1537,2126,2
1538,2127,2
1539,2129,2
1540,2130,2
1541,2131,2
1542,2132,1
1543,2133,2
1544,2137,6
1545,2138,1
1546,2139,1
1547,2140,2
1548,2141,3
1549,2142,4
1550,2143,3
1551,2144,1
1552,2146,1
1553,2147,2
1554,2148,2
1555,2150,1
1556,2151,2
1557,2153,2
1558,2154,2
1559,2155,1
1560,2156,1
1561,2157,1
1562,2158,1
1563,2159,1
1564,2160,1
1565,2161,1
1566,2162,1
1567,2163,1
1568,2164,2
1569,2165,1
1570,2166,1
1571,2167,1
1572,2168,1
1573,2169,1
1574,2170,1
1575,2173,4
1576,2174,3
1577,2175,2
1578,2176,2
1579,2177,5
1580,2179,1
1581,2180,2
1582,2181,2
1583,2183,1
1584,2184,2
1585,2185,1
1586,2186,1
1587,2187,1
1588,2188,1
1589,2189,1
1590,2190,3
1591,2191,3
1592,2192,3
1593,2193,3
1594,2196,1
1595,2197,1
1596,2199,1
1597,2200,2
1598,2202,2
1599,2203,1
1600,2204,2
1601,2205,2
1602,2206,1
1603,2207,2
1604,2208,2
1605,2209,2
1606,2210,1
